PIT Tag #,Date,Time,Researcher,Species,Encounter,Detection,Recap,Location,Mode,Avg Count,Error,Elevatlon,Easting,Northing,Waypoint,Habitat,Weather,Cloud cover,Ta,Tg,Comments,Pillow case,SVL,VTL,S + B,Bag,Mass,Sex,Age class,Gravid,Rattle paint,Photo #,Comments,Rel date,Rel time,Rel researcher,Days in captivity,Rel locatlon,Behaviour,Record #,Recapture Information,Hibernation Site
4305457d1b,8/5/2005,11:40,GC staff,Rattlesnake,Capt,Sight,Yes,"Gc clubhouse, tee 1",3D diff,60,4.3,335,322256,5434688,,Grass,Raining,100,,,,Green/pink plad,62.6,5.2,327,133,194,Male,Adult,NA,"Yellow, Red, Green",Yes,,9/5/2005,15:13,RH,1,"964m NW at 321573, 5435369",,2005-73,,
45662e3333,8/5/2005,16:51,GC staff,Rattlesnake,Capt,Sight,No,7th green,3D diff,75,4.8,355,322568,5434660,,Grass,Raining,100,,,,Pink/blue flowers,57.1,4.5,191,69,122,Male,Sub Adult,NA,"Fiesta yellow, Pt purple, Tango blue",Yes,,11/5/2005,17:04,JRB,3,"711m NW at 321954, 5435027, 6.3",On the move,2005-74,,
4576230c6c,10/5/2005,15:27,RH,Rattlesnake,Capt,Sight,No,N path past CG,3D diff,100,4.1,283,320880,5435744,Co01100505,Lake edge,Overcast,100,,,,Grey,61.2,3.4,347,104,243,Female,Adult,Yes,"Fiesta yellow, Lt blue, Red",Yes,5 embryos found on palpation,11/5/2005,12:30,RH,1,At capture location,On the move,2005-75,,
445c682018,8/5/2005,16:51,JRB,Rattlesnake,05recap,Sight,Yes,Above N end CG,3D diff,135,2.9,295,321315,5435392,Co01080505,Shrub-steppe,"Warm, Overcast",100,29.5,31.5,,Kids,62.9,3.7,290,91,199,Female,Adult,Yes,"Fuchsia, Daisy cream, Tango blue",Yes,"3 embryos, also at lake",9/5/2005,17:05,RH,1,At capture location,Coiled,2005-59a, ,
4462031f08,8/5/2005,17:21,JRB,Rattlesnake,Capt,Sight,No,Riparian horse trail,3D diff,50,5.9,298,321834,5434806,Co02080505,"Riparian, sandy","Warm, Raining",100,29,29.2,,Grey,53,3,202,103,99,Female,Sub Adult,NA,Fiesta yellow,Yes,,9/5/2005,16:03,RH,1,At capture location,On the move,2005-76,,
4313403705,8/5/2005,16:00,GC staff,Rattlesnake,Capt,Sight,Yes,9th green,3D diff,110,4.2,335,322283,5434649,,Grass,,,,,,Green,58.6,3.7,223,112,111,Female,Sub Adult,NA,"Pink, Yellow, Red",Yes,,10/5/2005,9:23,RH,2,"934m N at 321114, 5435568",On the move,2005-77,,
433e515572,11/5/2005,8:20,Lindsay,Rattlesnake,05recap,Sight,Yes,Spirit ridge,3D diff,200,6.2,322,322083,5434703,Co01110505,Construction site,Sunny,25,,,,Yellow,,,,,,,,,,,,11/5/2005,16:56,JRB,0,"760m N for a second time at 321668, 5435342, 6.1",,2005-60a,,
4570584446,11/5/2005,15:36,Lindsay,Rattlesnake,Capt,Sight,No,Spirit ridge,3D diff,50,5,322,322128,5434763,,Cons site,"Warm, Sunny",50,,,,Pinkblue flowers,73.6,4.8,237,68,169,Male,Adult,NA,"Fiesta yellow, Lt blue, Car pink",Yes,,12/5/2005,16:32,JRB,1,"315m N at 321901, 5435022 6.5",On the move,2005-78,,
431026583a,11/5/2005,16:40,JRB,Rattlesnake,Capt,Sight,Yes,"Nk'Mip road, exact loc ?",3D gps,25,4.5,301,321880,5434675,,,,,,,,,,,,,,,,,"White, Yellow, Red",,Dead on road,,,,,DOR,,2005-79,, 
45307f0e7c,12/5/2005,11:05,GC staff,Rattlesnake,Capt,Sight,Yes,4th tee box,3D diff,10,3.5,339,322378,5434749,Co01120505,Grass,"Warm, Sunny",25,,,,Yellow,45,2.9,207,152,55,Female,Sub Adult,NA,"Fuchsia, Tango blue, Citrus green",Yes,"Injured by weed eater, gash on back ca 3 cm from head, muscle is exposed, i sealed the wound w tissue glue, head injured eyes filled w blood but appears she will make it, put her on a 3 day baytril treatment, tried to feed 3 times didnt take it, recovered but lost an eye",29/05/2005,14:33,JRB,17, N at 321961 5435010 6.2 closest good habitat,Coiled in grass,2005-80,,
4565676a60,12/5/2005,17:37,JRB,Rattlesnake,Capt,Sight,No,"High desert, S end ",3D gps,50,6.7,324,321837,5435082,Co02120505,Shrub-steppe,"Warm, Sunny",50,,,,Kids,56.7,3.8,248,90,158,Female,Sub Adult,No,"Fiesta yellow, Lt blue, Fuchsia",Yes,,13/05/2005,11:07,RH,1,At capture location,On the move,2005-81,,
430f5b2e26,12/5/2005,17:59,JRB,Rattlesnake,Capt,Sight,Yes,Lone pie bridge,3D gps,50,5.6,326,322146,5435052,Co03120505,Bridge,"Warm, Sunny",50,,,,white,68.8,5.5,325,93,232,Male,Adult,NA,"Fuchsia, Pt purple, Daisy cream",Yes,"Implant, billy",18/05/2005,17:39,JRB,5,At Capture Location,Coiled,2005-82,,
Co04120505,12/5/2005,14:35,JRB,Rattlesanke,Capt,Sight,Yes,"Road, unkown location",,,,,,,,,,,,,"Dead on road, recap, pit destroyed, paint unrecognizable, exact location unknown",,,,,,,,,,,,,,,,,DOR,,2005-83,, 
456f102247,13/05/2005,10:24,Lenny CG,Rattlesnake,Capt,Sight,Yes,Site 120,3D gps,70,8.2,279,321448,5434743,,Grass,"Warm, Sunny",25,,,,Blue flowers,69.5,5.4,328,94,234,Male,Adult,NA,"Fuchsia, Fiesta yellow, Tango blue",Yes,"Old pit tag fell out, new tag put in its place",13/05/2005,17:05,JRB,0,"164m E of capt at 321572,5434837 5.4",On the move,2005-84,,
45306d0526,13/05/2005,15:00,GC staff,Rattlesnake,Capt,Sight,Yes,Gc parking lot,3D diff,10,2.8,326,322232,5434609,,Road,"Warm, Sunny",25,,,,White plad,55.5,3.1,214,83,131,Female,Sub Adult,NA,"Fuchsia, Tango blue, Deep aqua",Yes,,14/05/2005,17:46,JRB,1,"641m NW at 321795, 5435073 4.4",On the move,2005-85,,
4530740f7b,13/05/2005,18:00,CG staff,Rattlesnake,Capt,Sight,Yes,CG office,3D diff,50,5.6,,321637,5434636,,Road,"Warm, Sunny",50,,,,brown striped,68.8,5.1,336,99,237,Male,Adult,NA,"Fuchsia, Daisy cream, Blue bell",Yes,,14/05/2005,17:54,JRB,1,"290 NE at 321661, 5434923 2.4",On the move,2004-86,,
454c73125f,13/05/2005,18:51,JRB,Rattlesnake,Capt,Sight,No,"High desert, S end",3D diff,25,3.2,330,321806,5435137,Co04130505,Shrub-steppe,"Warm, Sunny",50,26.5,28,,Blue flowers,52.3,3.8,207,102,105,Female,Sub Adult,NA,"Fiesta yellow, Lt blue, Blue bell",Yes,,17/05/2005,12:27,JRB,4,At capture location,Coiled,2005-87,,
446160344c,14/05/2005,11:47,CG staff,Rattlesnake,Capt,Sight,Yes,CG store,3D gps,50,6.8,287,321468,5434698,Co01140505,Grass,"Warm, Sunny",50,,,,Green,56.4,3.8,279,79,200,Female,Adult,No,"Fuchsia, Fuchsia, Deep aqua",Yes,,14/05/2005,17:52,JRB,0,"299 W at 321653, 5434935, 2.5",Coiled,2005-88,,
4551582508,15/05/2005,14:56,JRB,Rattlesnake,Capt,Sight,No,Old plexi gest site,3D diff,50,5.5,350,322135,5435641,tube13,Rock outcrop,"Overcast, Raining",100,,,,pink/blue flowers,58.1,3.6,250,69,181,Female,Adult,Yes,"Fiesta yellow, Lt blue, Daisy cream",Yes,Up to 3 young present as far as I can tell,17/05/2005,12:36,JRB,2,At capture location,Basking,2005-89,,
45301a2c25,15/05/2005,14:58,JRB,Rattlesnake,Capt,Sight,Yes,Old plexi gest site,3D diff,50,5.5,350,322135,5435641,Tube 13,Rock outcrop,"Overcast, Raining",100,,,,Pink/blue case,62.9,4.1,361,78,283,Female,Adult,Yes,"Fuchsia, Fiesta yellow, Tango blue",Yes,"Could feel severa young, I dont think there is any accuracy in numbers, don't use this data",17/05/2005,12:37,JRB,2,At capture location,Basking,2005-90,,
4569506040,16/05/2005,15:03,JRB,Rattlesnake,Capt,Sight,No,Rattlesnake pt,3D diff,10,4.2,392,320286,5436365,Co01160505,Shrub-steppe,"Warm, Overcast",100,26.6,28.4,,Striped,70,6.2,381,257,124,Male,Adult,NA,Trans blue,Yes,Implant - R2D2,22/05/2005,14:24,JRB,6,At capture location,On the move,2005-91,,
44624e7d68,16/05/2005,11:13,GC staff,Rattlesnake,Capt,Sight,Yes,Near 6th green,3D diff,150,5.9,354,322624,5435032,Co02160505,Grass,"Warm, Overcast",100,,,,Grey,57.5,4,312,104,208,Female,Adult,No,"Fuchsia, Citrus green, Fuchsia",Yes,"Could be gravid, fat for her size..  I think she fed recently however",17/05/2005,12:41,JRB,1,"845m N at 322042, 5435650, 5.8",,2005-92,,
4531160166,19/05/2005,11:15,GC staff,Rattlesnake,Capt,Sight,Yes,GC shed,3D diff,40,3.3,327,322248,5434589,Co01190505,Path,"Cool, Overcast",100,,,,Kids,69.4,6,402,167,235,Male,Adult,NA,"Fuchsia, Tango blue, Citrus green",Yes,,21/05/2005,16:18,JRB,2,"463m N at 321996, 5434973",,2005-93,,
4462176609,20/05/2005,17:00,RH,Rattlesnake,Capt,Sight,Yes,"High desert, N end",3D gps,50,5.1,313,321516,5435345,,Shrub-steppe,Overcast,100,,,,Yellow/brown,63.2,4.9,326,128,198,Male,Adult,NA,"Fuchsia, Fuchsia, Pt purple",Yes,No pit number in photo,22/05/2005,13:16,JRB,2,At capture location,Coiled,2005-94,,
4570773a15,22/05/2005,16:20,JRB,Rattlesnake,05recap,Sight,Yes,N desert at den 22,3D gps,78,6.4,341,321082,5436227,Co01220505,Shrub-steppe,"Warm, Cloudy",75,24.1,22.8,,,,,,,,Female,Adult,Yes,"Fiesta yellow, Pt purple, Royal blue",,"This is a gravid female originally caught at the lake, now at the mtn, gives credit to the drink theory amazing moving ca. 1km and back",,,,,Sighting only,On the move towards mtn,2005-70a,,
Co01240505,24/05/2005,12:09,JRB,Rattlesnake,Sight,Sight,No,Above den 24,3D diff,10,4.2,517,321257,5436394,Co0240505,Rock outcrop,"Warm, Windy",25,,,,,,,,,,,Neonate,NA,,,"Base segment only, moving up the mtn, tried to capt but retreated under rock",,,,,Sighting only,On the move up mtn,,,
4603275371,25/05/2005,17:24,"JRB, RH",Rattlesnake,Capt,Sound,No,Water edge S of white sands,3D gps,53,5.4,276,320592,5436044,Co01250505,Shrub-steppe,"Hot, Sunny",0,33,32.9,,,66.5,4.7,284,104,180,Male,Adult,NA,"Fiesta yellow, Lt blue, Blue bell",Yes,,26/05/2005,13:05,RH,1,At capture location,Basking in open,2005-95,,
4531160166,25/05/2005,19:00,GC staff,Rattlesnake,05recap,Sight,Yes,1st tee box,3D diff,60,4.3,335,322256,5434688,,Grass,,,,,,,,,,,,Male,Adult,NA,"Fuchsia, Royal blue, Citrus green",Yes,,28/05/2005,14:29,"JRB, TD",3,"524m N at 321891, 5435063 2.9",,2005-93a,,
4462226167,27/05/2005,11:00,RH,Rattlesnake,Capt,Sight,Yes,7014 mple drive,3D diff,100,7.5,285,321371,5434036,Co01270505,"Backyard, Grass","Warm, Sunny",0,,,,White,71.5,5.5,335,105,230,Male,Adult,NA,"Fuchsia, Deep aqua, Daisy cream",Yes,,28/05/2005,15:00,JRB,1,"1000m NE of capture at 321701, 5434982 2.7",,2005-96,,
43063c2510,27/05/2005,14:15,RH,Rattlesnake,Capt,Sight,Yes,NDHC shed,3D gps,75,5.4,327,322103,5434877,Co04270505,cons site,"Hot, Sunny",0,,,,,55.9,3.2,244,97,147,Female,Sub Adult,NA,"Fiesta yellow, Lt blue, Deep aqua",Yes,"2002 recap, had no paint",28/05/2005,14:21,JRB,1,"88m N at 322047, 5434946 3.2m",,2005-97,,
445e1b2963,27/05/2005,14:15,RH,Rattlesnake,05recap,Sight,Yes,Lone pine bridge,3D diff,50,2.5,329,322142,5435058,Co03270505,Shrub-steppe,"Hot, Sunny",,,,,,,,,,,,,,,,Repeatedly observed here since initial capture,28/05/2005,14:15,JRB,1,At capture location,,2005-62a,,
46050b5d7e,27/05/2005,14:48,CG staff,Rattlesnake,Capt,Sight,No,F-sites at CG,3D diff,30,2.8,297,321469,5434951,,CG,"Hot, Sunny",0,,,,,71.1,5.2,373,113,260,Male,Adult,NA,"Fiesta yellow, Lt blue, Royal blue",Yes,,28/05/2005,14:48,"JRB, TD",1,"607m NE at 321944, 5435328 5.4",,2005-98,,
445c6a0919,28/05/2005,15:14,RH,Rattlesnake,05recap,Sight,Yes,Cg store,3D gps,20,6.7,285,321469,5434730,,Grass,"Hot, Sunny",0,,,,,,,,,,Male,Adult,NA,,,Incicion site looks good from sring removal,28/05/2005,15:14,JRB,,Rock pile above cg store at 321573 5434840 4.3,,Skay,,
4532697b31,28/05/2005,15:15,"JRB, TD",Rattlesnake,Capt,Sight,No,Rock pile above CG store,3D diff,50,4.3,297,321573,5434840,Co01280505,"Shrub-steppe, Rocks","Hot, Sunny",0,34.7,29.7,,Kids,59.6,3,242,88,154,Female,Sub Adult,NA,"Fiesta yellow, Lt blue, Pt purple",Yes,,29/05/2005,13:27,JRB,1,At capture location,"Coiled, In trap",2005-99,,
445c722749,28/05/2005,15:15,"JRB, TD",Rattlesnake,Capt,Sight,Yes,Rock pile above CG store,3D diff,50,4.3,297,321573,5434840,Co01280505,"Shrub-steppe, Rocks","Hot, Sunny",0,34.7,29.7,,Beige flowers,62.8,4.8,239,80,159,Male,Sub Adult,NA,"Fuchsia, Blue bell, Tango blue",Yes,,29/05/2005,13:27,JRB,1,At capture location,"Coiled, In trap",2005-100,,
4536761418,28/05/2005,15:15,"JRB, TD",Rattlesnake,Capt,Sight,No,Rock pile above CG store,3D diff,50,4.3,297,321573,5434840,Co01280505,"Shrub-steppe, Rocks","Hot, Sunny",0,34.7,29.7,,White W purple,54.9,3,252,113,139,Female,Sub Adult,NA,"Fiesta yellow, Lt blue, Tango blue",Yes,,29/05/2005,13:27,JRB,1,At capture location,"Coiled, In trap",2005-101,,
44617d154f,29/05/2005,16:45,JRB,Rattlesnake,Capt,Sight,Yes,Village,3D diff,70,3.2,327,321995,5435335,Co02290505,Riparian,"Hot, Sunny",25,39.2,38.6,,Blue stripe,71.8,5.5,310,98,212,Male,Adult,NA,"Fuchsia, Red, Blue bell",Yes,,30/05/2005,14:39,JRB,1,At capture location,Coiled at base of hawthorne,2005-102,,
4556232e28,29/05/2005,10:00,GC staff,Rattlesnake,05recap,Sight,Yes,7th green,3D diff,75,4.8,355,322564,5434690,Co01290505,Grass,"Hot, Sunny",25,,,,Brown/yellow,59.5,4.7,294,124,170,Male,Sub Adult,NA,"Fiesta yellow, Citrus green, Red",Yes,,30/05/2005,14:16,JRB,1,"761m N at 321897, 5435061, 5.9",On the move,2005-32a,,
4530035e3a,29/05/2005,19:17,JRB,Rattlesnake,05recap,Sight,Yes,CG gates,3D diff,50,6.5,288,321733,5434541,Co03290505,Road,"Hot, Sunny",25,25.3,25.4,Odld telem snake crossing rd,Pink/blue,,,,,,Male,Adult,NA,,,Healing well,30/05/2005,14:21,JRB,1,"405 m N, control last year, first reloc, at 321773, 5434943,2.7",On the move,Darwin,,
45592c202d,30/05/2005,9:15,Lindsay,Rattlesnake,Capt,Sight,No,Winery patio,3D diff,100,2.7,330,322134,5434594,,Patio,"Warm, Sunny",25,,,,,53.1,3.2,186,80,106,Female,Sub Adult,NA,"Fiesta yellow, Citrus green, Car pink",Yes,,30/05/2005,14:31,JRB,,"840m N at 321671, 5435299, 3.3",Coiled,2005-103,,
Co02300505,30/05/2005,10:16,Construction staff,Rattlesnake,Capt,Sight,No,NDHC cons site,3D diff,50,4.4,330,322121,5434970,Co02300505,Concrete,"Warm, Sunny",25,,,,,24,1.4,100,92,8,,Neonate,NA,Fiesta yellow,Yes,Very tiny,30/05/2005,14:29,JRB,,"551m N at 321673, 5435292, 3.6","Coiled, Basking",2005-104,,
45440a332c,30/05/2005,8:00,GC staff,Rattlesnake,Capt,Sight,No,Orchard S of GC,3D diff,,,,322,543,Co05290505,Orchard,"Warm, Sunny",25,,,,,70.8,6.2,336,66,270,Male,Adult,NA,"Fiesta yellow, Citrus green, Fuchsia",Yes,,30/05/2005,14:11,JRB,,"529m N at 321954, 5435034, 6.6",,2005-105,,
44340f6f03,31/05/2005,12:42,JRB,Rattlesnake,Capt,Sight,No,W tip of RS PT,3D diff,40,4.3,271,319818,5436442,Co01310505,Shrub-steppe,"Raining, Cool",100,,,,Pink/blue,70.3,5.9,375,77,298,Male,Adult,NA,Trans blue,,Implant - driftwood,5/6/2005,13:12,JRB,5,At capture location,Coiled beside log,2005-106,,
4553645c3e,31/05/2005,12:55,JRB,Rattlesnake,Capt,Sight,No,S side of RS pt,3D gps,5,6,266,320140,5436216,Co02310505,Open grassland,"Raining, Cool",100,,,"Very large snake about to shed, beside gopher snake also bout to shed",Kids,75.3,6.3,494,89,405,Male,Adult,NA,Trans blue,,Implant - The Dude,5/6/2005,13:12,JRB,5,At capture location,Coiled beside brush pile,2005-107,,
457b676015,1/6/2005,11:47,"JRB, OSS",Rattlesnake,Capt,Sight,No,Lone pine bridge,3D diff,32,3.5,331,322140,5435055,Co01010606,Shrub-steppe,"Warm, Overcast",75,,,,Beige flowers,58.8,5.2,273,82,191,Male,Adult,NA,"Fiesta yellow, Citrus green, Deep aqua",Yes,,2/6/2005,14:06,JRB,1,At capture location,Coiled,2005-108,,
4305457d1b,1/6/2005,12:05,JRB,Rattlesnake,05recap,Sight,Yes,Off trails before cottonwood,3D diff,50,4,334,322067,5435171,Co02010605,Shrub-steppe,"Warm, Overcast",75,,,,,,,,,,Male,Adult,,"Yellow, Red, Green",,,,,,,Sighting only,On the move,2005-73a,,
44620c0b44,1/6/2005,12:22,JRB,Rattlesnake,Capt,Sound,Yes,Path N  of lone pine,3D diff,50,3.9,327,322114,5435114,Co03010605,Shrub-steppe,"Warm, Overcast",75,,,,Green,54,,,,,Male,,NA,"Fuchsia, Red, Car pink",Yes,,1/6/2005,16:49,JRB,,At capture location,On the move,2005-109,,
Co04010605,1/6/2005,15:02,CG staff,Rattlesnake,Capt,Sight,No,Cg store,3D gps,30,7,293,321468,5434725,Co04010605,Grass,"Warm, Overcast",,,,,,26.3,1.5,82,67,15,,Neonate,NA,Fiesta yellow,Yes,,2/6/2005,14:21,JRB,1,"824m at 322226, 5435056, 5.9",,2005-110,,
4565326124,1/6/2005,16:00,RH,Rattlesnake,Capt,Sight,No,E of RS pt,3D diff,150,5.7,333,320489,5436613,Co05010605,Shrub-steppe,"Warm, Sunny",50,,,,Gray,62.8,5.4,288,104,184,Male,Adult,NA,"Fiesta yellow, Citrus green, Pt purple",Yes,,2/6/2005,15:25,JRB,1,At capture location,,2005-111,,
456e560309,1/6/2005,17:47,JRB,Rattlesnake,Capt,Sight,No,E of RS pt,3D diff,50,5.8,321,320239,5436750,Co06010605,"Shrub-steppe, Antelope brush","Warm, Sunny",50,27.2,27,,Blue stripe,68.9,5.9,324,100,224,Male,Adult,NA,"Fiesta yellow, Citrus green, Daisy cream",Yes,,2/6/2005,15:07,JRB,1,At capture location,"Coiled, Basking",2005-112,,
45761e5e6b,1/6/2005,18:26,JRB,Rattlesnake,Capt,Sight,No,20m NE of concrete gate,3D diff,50,5,289,320972,5435723,Co07010605,Shrub-steppe,Warm,50,25.5,25.6,Very bitey,,59.3,3.5,237,80,157,Female,Adult,No,"Fiesta yellow, Citrus green, Tango blue",Yes,,2/6/2005,14:42,JRB,1,At capture location,"Coiled, Basking",2005-113,,
Co01020605,2/6/2005,7:00,CG staff,Rattlesnake,Capt,Sight,No,CG store,3D gps,30,7,293,321468,5434725,,Grass,"Cool, Overcast",75,,,,,26.3,2,125,110,15,,Neonate,NA,Fiesta yellow,Yes,,2/6/2005,14:25,JRB,,"726m at 322115, 5435059 6.4",Under woodpile,2005-114,,
4550430858,2/6/2005,15:31,JRB,Rattlesnake,Capt,Sight,No,Gasline E of WS,3D diff,30,5,334,320545,5436382,Co02020605,Shrub-steppe,"Warm, Overcast",75,,,"Tried to bite me while just waking along, agressive",Green,66.5,5.3,342,81,261,Male,Adult,NA,"Fiesta yellow, Citrus green, Blue bell",Yes,,5/6/2005,14:08,JRB,3,At capture location,Coiled in open,2005-115,,
45300b3c23,3/6/2005,19:00,CG staff,Rattlesnake,Capt,Sight,Yes,Site 119a,3D diff,90,5.8,283,321437,5434742,Co01030605,Grass,"Warm, Overcast",100,,,,Green pattern,61,3.5,267,108,159,Female,Adult,No,"Fuchsia, Car pink, Deep aqua",Yes,,4/6/2005,14:05,JRB,1,"241m E at 321654, 5434850, 5.7",,2005-116,,
Co02030605,3/6/2005,11:00,CG staff,Rattlesnake,Capt,Sight,No,CG store,3D gps,30,7,293,321468,5434725,Co02030605,Grass,"Warm, Sunny",75,,,,Nintendo,26.7,2.6,106,92,14,,Neonate,NA,Fiesta yellow,Yes,,4/6/2005,16:16,JRB,1,"626m E at 321925, 5435156, 3.3",,2005-117,,
4304425d03,3/6/2005,12:00,CG staff,Rattlesnake,Capt,Sight,Yes,Site 100,3D gps,75,5.2,285,321437,5434674,Co03030605,Grass,"Warm, Sunny",75,,,,White/purple,66.4,5,356,113,243,Male,Adult,NA,"Blue, Yellow, Blue",Yes,,4/6/2005,14:00,JRB,1,"183m E at 321579, 5434796, 5.9",,2005-118,,
Co01050605,5/6/2005,14:18,JRB,Rattlesnake,Capt,Sight,No,"N desert, S end",3D diff,50,2.5,321,320977,5435974,Co01050605,Shrub-steppe,"Raining, Cool",100,,,,Blue stripe,24.8,1.5,104,92,12,,Neonate,NA,Fiesta yellow,Yes,,8/6/2005,13:13,JRB,3,At capture location,On the move,2005-119,,
4461737c6c,8/6/2005,14:53,GC staff,Rattlesnake,Capt,Sight,Yes,Gc parkinglot,3D diff,10,2.8,326,322232,5434609,,Gravel,"Raining, Cool",100,,,,Green,49.3,3.2,189,80,109,Female,Sub Adult,NA,"Fuchsia, Citrus green, Citrus green",Yes,,10/6/2005,12:30,JRB,2,"529m N at 321900, 5435020, 2.9",,2005-120,,
4566372b24,8/6/2005,14:54,JRB,Rattlesnake,Capt,Sight,No,N end of WS,3D diff,50,5.9,277,320256,5436116,Co01080605,Shrub-steppe,"Cool, Overcast",100,22.1,21.9,,Kids,74.5,5.9,392,90,302,Male,Adult,NA,"Fiesta yellow, Citrus green, Royal blue",Ye,,10/6/2005,14:50,RH,2,At capture location,On the move,2005-121,,
Sighting,9/6/2005,14:35,JRB,Rattlesnake,Sight,Sound,No,High on bady mtn,3D diff,50,10.6,738,321695,5436557,Co01090605,Rock outcrop,"Warm, Sunny",25,,,,,,,,,,,,,,,,, ,,,Sighting only,Stretched out,,,
454811651b,13/06/2005,12:34,"JRB, RH",Rattlesnake,Capt,Sight,No,W tip of RS Pt,3D diff,155,4.3,275,319818,5436442,3532130605,Shrub-steppe,"Warm, Cloudy",50,24.6,24.7,Coiled with driftwood,Striped,69.3,6.1,378,85,293,Male,Adult,NA,"Fiesta yellow, Citrus green, Lt blue",Yes,,14/06/2005,15:42,JRB,1,At capture location,Coiled under log,2005-122,,
4559481109,13/06/2005,13:11,"JRB, RH",Rattlesnake,Capt,Sight,No, tip of RS pt,3D diff,25,2.9,275,319797,5436456,3824130605,Grassland,"Cool, Cloudy",75,24.1,21.6,"Same lg as wesley, opposite end",Yellow/brown,72.2,5.9,443,126,317,Male,Adult,NA,"Fiesta yellow, Royal blue, Red",Yes,,14/06/2005,15:44,JRB,1,At capture location,Coiled under log,2005-123,,
4565260d62,13/06/2005,13:34,"JRB, RH",Rattlesnake,Capt,Sight,No,SW tip of RS Pt,3D diff,10,5.7,279,319797,5436232,Co03130605,"Wetland, lake edge","Warm, Windy",75,22.4,22.1,Smaller adult,roger backack,67.6,5.5,289,81,208,Male,Adult,NA,"Fiesta yellow, Royal blue, Car pink",Yes,"Has 2 healed puncture wounds on itd head, one ventral and one dorsa",14/06/2005,15:38,JRB,1,At capture location,Stretched out in brush pile,2005-124,,
45744a0c2e,13/06/2005,13:46,"JRB, RH",Rattlesnake,Capt,Sight,No,S end of RS Pt in brush pile,3D diff,83,5.4,278,319810,5436243,Co04130605,Wetland/lake edge,"Hot, Windy",75,22.4,22.1,,Yellow/brown,61.4,5,363,120,243,Male,Adult,NA,"Fiesta yellow, Royal blue, Fuchsia",Yes,,14/06/2005,15:36,JRB,1,At capture location,Coiled on brush pile,2005-125,,
451e567222,14/06/2005,15:46,JRB,Rattlesnake,Capt,Sight,No,Rs pt with driftwood,3D diff,12,6,276,319821,5436447,Co01140605,Shrub-steppe,"Raining, Cool",100,,,,Nintendo,68,4.1,305,92,213,Female,Adult,No,"Fiesta yellow, Royal blue, Daisy cream",Yes,"Very larged for female, probed to confirm",15/06/2005,11:45,JRB,1,At capture location,On the move,2005-126,,
4531160166,15/06/2005,16:18,GC staff,Rattlesnake,05recap,Sight,Yes,9th hole near 3rd green,3D diff,30,4.8,335,322343,5434645,Co02140605,Shrub-steppe,"Cool, Overcast",100,,,,,,,,,,,,,"Fuchsia, Royal blue, Citrus green",,,16/06/2005,14:07,JRB,1,524m N at 322139 5435129 6.4,,2005-93b,,
433e06795f,15/06/2005,16:20,JRB,Rattlesnake,Capt,Sight,Yes,Centre porch,3D gps,25,5.6,324,322064,5434871,Co01150605,Porch,"Warm, Sunny",25,,,,Yellow flowers,60.5,4.3,257,149,108,Male,Adult,NA,"Red, White, Pink",yes,"Very skinny for size, again, old 2003 data is way off? how do snakes keep shrinking, this guy was not an adult 2 years ago unless he hasnt grown",16/06/2005,15:07,JRB,1,"948m N at 321689, 5435738, 4.4","Coiled, rattling",2005-127,,
4545061629,17/06/2005,7:50,GC staff,Rattlesnake,Capt,Sight,No,SW of 5th green,3D diff,56,3.4,351,322352,5434878,Co01170605,Shrub-steppe,"Cloudy, Raining",100,,,"Not found in hotel until the 18th, will have to ait until mon when I have someone to process with",Nintendo,50.3,2.8,211,93,118,Female,Sub Adult,NA,"Fiesta yellow, Royal blue, Pt purple",Yes,Scat while measuring,19/06/2005,13:57,JRB,2,"566m N at 321950, 5435274, 5.1",,2005-128,,
4552294a24,20/06/2005,10:36,RH,Rattlesnake,Capt,Sight,No,N desert at N ravine,3D diff,50,2.3,338,320454,5436760,Co01200605,Shrub-steppe,"Warm, Sunny",25,,,,Nintendo,69.6,5.5,328,92,236,Male,Adult,,"Fiesta yellow, Royal blue, Deep aqua",Yes,,22/06/2005,17:41,JRB,2,At capture location,Coiled,2005-129,,
456c170d63,20/06/2005,19:59,JRB,Rattlesnake,Capt,Sight,No,E of WS,3D diff,15,2.2,293,320482,5436105,Co02200605,Shrub-steppe,"Warm, Sunny",0,26.6,24.9,,Green pattern,70.2,5.9,338,111,227,Male,Adult,NA,"Fiesta yellow, Royal blue, Tango blue",Yes,,22/06/2005,17:28,JRB,2,At capture location,"Coiled, Basking in open",2005-130,,
4545395d52,20/06/2005,20:44,JRB,Rattlesnake,Capt,Sight,No,Above CG near rock pile,3D diff,50,4.5,298,321579,5434823,Co03200605,Shrub-steppe,"Warm, Dusk",0,26.2,25.9,,Pink/blue,61.7,5.3,257,67,190,Male,Adult,NA,"Fiesta yellow, Royal blue, Blue bell",Yes,,21/06/2005,17:51,JRB,1,At capture location,On the move,2005-131,,
45306d4a14,20/06/2005,20:54,JRB,Rattlesnake,Capt,Sight,Yes,Rock pile above cg store,3D diff,50,5.2,300,321575,5434838,Co04200605,Shrub-steppe,"Warm, Dusk",0,26.2,25.9,,Kids,71.3,6.1,371,90,281,Male,Adult,NA,"Fuchsia, Blue bell, Pt purple",Yes,About to shed,21/06/2005,17:51,JRB,1,At capture location,"Coiled, Under rock",2005-132,,
