PIT Tag #,Date,Time,Researcher,Species,Encounter,Detection,Recap,Location,Mode,Avg Count,Error,Elevatlon,Easting,Northing,Waypoint,Habitat,Weather,Cloud cover,Ta,Tg,Comments,Pillow case,SVL,VTL,S + B,Bag,Mass,Sex,Age class,Gravid,Rattle Paint,Photo #,Comments,Rel date,Rel time,Rel researcher,Days in captivity,Rel locatlon,Behaviour,Record #,Type,Hibernation Site
4574474921,1/8/2006,8:57,"KH, LG",Rattlesnake,Capt,Sight,No,SW N desert up,3D diff,175,2.9,308,321089,5435709,Co01010806,"Shrub-steppe, in open","Warm, Sunny, Smokey",50,22.7,,,"Pink, blue, green",,4,221,104,117,Male,Sub Adult,NA,"Citrus green, Red, Blue bell",Yes,,3/8/2006,9:03,"KH, LG",2,At capture location,On the move,2006-171,Capt,
4604237f6d,31/07/2006,9:52,"KH, LG",Rattlesnake,Capt,Sound,No,Central riparian,3D diff,50,3.3,303,321871,5434860,Co01310706,Riparian,"Warm, Sunny",25,24.5,,,Whitew purple spots,,5.4,327,113,214,Male,Adult,NA,"Citrus green, Red, Car pink",,,2/8/2006,11:34,"KH, LG",2,At capture location,On the move,2006-170,Capt,
4566497e3c,22/07/2006,7:43,"KH, AG",Rattlesnake,Capt,Sight,No,NW High desert,3D diff,25,2.6,327,321322,5435601,Co01220706,"Shrub-steppe, Antelope brush","Warm, Sunny",50,24.2,,,White plaid,,4.3,173,79,94,Male,Sub Adult,NA,"Citrus green, Red, Daisy cream",Yes,,24/07/2006,8:11,"KH, LG, AND.",2,At capture location,On the move,2006-148,Capt,
543518405c,28/07/2006,10:28,"KH, LG",Rattlesnake,Capt,Sound,No,Horse gate,3D diff,100,3.8,295,321804,5434647,Co03280706,"Riparian, fence","Warm, Sunny",25,29.1,,Appeared to be re-entering by horse gate.,White w pink flowers,,3.5,248,108,140,Female,Sub Adult,No,"Citrus green, Red, Deep aqua",Yes,,30/07/2006,11:14,"KH, LG",2,At capture location,Working fence,2006-165,Capt,
4578323719,28/07/2006,7:00,Victor,Rattlesnake,Capt,,No,Golf Course,,,,,322,543,,GC,,,,,,Yellow A,,5.5,287,126,161,Male,Adult,NA,"Citrus green, Red, Fiesta yellow",Yes,Release postponed because Victor cannot remember where he caught it.  Translocated 200m from edge of GC.,31/07/2006,8:20,"KH, LG",3,E322251. N5435136. A2.7.,,2006-167,Capt,
457b6b2320,26/07/2006,11:12,KH,Rattlesnake,Capt,Sight,No,S of White Sands Beach,3D diff,25,3.1,278,320639,5435978,3303260706,"Riparian, Sagebrush","Hot, Sunny",0,37.3,,,Green w red etc.,,4.5,273,109,164,Male,Adult,NA,"Citrus green, Red, Fuchsia",Yes,,28/07/2006,11:22,"KH, LG",2,At capture location,"Looped, Under sage brush",2006-161,Capt,
4554720437,29/07/2006,9:05,KH,Rattlesnake,Capt,Sound,No,Central N desert,3D diff,50,3.2,346,320989,5436197,Co01290706,"Shrub-steppe, Antelope brush","Warm, Sunny",25,26.1,,,Green,,4,148,79,69,Male,Sub Adult,NA,"Citrus green, Red, Lt blue",Yes,,1/8/2006,9:51,"KH, LG",3,At capture location,On the move,2006-166,Capt,
456c2b0c60,8/8/2006,9:19,"KH, LG",Rattlesnake,,Sound,No,SE of White Sands Beach,3D diff,25,3.5,285,320597,5436087,Co01080806,"Shrub-steppe, Rabbit brush","Warm, Smokey",50,31.1,,,White w blue & pink,,4.2,252,65,187,Female,Adult,NA,"Citrus green, Red, Pt purple",Yes,Felt lump but probably just food.,10/8/2006,10:37,"KH, LG",2,At capture location,On the move,2006-180,Capt,
445d2f422c,24/07/2006,10:55,"KH, LG, AG",Rattlesnake,Capt,Sight,No,NE of White Sands Beach,3D diff,135,5,327,320493,5436352,3404240706,"Shrub-steppe, Antelope brush","Warm, Sunny, Windy",,36.9,,,Blue,,3.7,238,102,136,Female,Adult,No,"Citrus green, Red, Royal blue",Yes,Shed in bag.,26/07/2006,9:39,KH,2,At capture location,"Coiled, Under antelope brush",2006-154,Capt,
45661d6d54,23/07/2006,9:30,"KH, LG",Rattlesnake,Capt,Sound,No,E of Lenny's crib,3D diff,125,4.4,299,322440,5435208,3082230706,"Shrub-steppe, Sagebrush","Hot, Sunny",0,32.3,,,"Tan w blue stitching, smaller snake",,3.4,212,104,108,Female,Sub Adult,No,"Citrus green, Red, Tango blue",Yes,,25/07/2006,8:53,"KH, LG",2,At capture location,On the move,2006-152,Capt,
47255a2318,29/05/2006,18:06,"KH, LG",Rattlesnake,Capt,Sight,No,N side of ravine,3D diff,75,4.9,320,321239,5435839,Co01290506,"Shrub-steppe, Sagebrush","Warm, Sunny",25,29.5,28.2,,Green w. purple and blue patterns,,4.9,279,108,171,Male,Adult,NA,"Citrus green, Royal blue, Blue bell",Yes,Blood attempted.,30/05/2006,16:53,"KH, LG",1,At capture location,Basking,2006-68,Capt,
4725574f71,28/05/2006,16:43,"KH, LG",Rattlesnake,06recap,Sound,No,"N desert, SW end",3D diff,25,4.6,318,321194,5435805,Co02280506,"Shrub-steppe, Antelope brush","Warm, Sunny, Cloudy",75,27.5,29.3,,White w pink flowers,,3.6,286,107,179,Female,Adult,No,"Citrus green, Royal blue, Car pink",Yes,Blood taken,29/05/2006,18:05,"KH, LG",1,At capture location,On the move,2006-67,06recap,
45060e2a6f,23/05/2006,18:29,"KH, LG",Rattlesnake,Capt,Sound,No,E of White Sands Beach,3D diff,60,2.7,283,320487,5436106,Co04230506,"Shrub-steppe, in open","Warm, Sunny",25,26.4,25,,Grey,,4.9,339,101,238,Male,Adult,NA,"Citrus green, Royal blue, Daisy cream",Yes,Blood taken.,25/05/2006,19:11,KH,2,At capture location,On the move,2006-59,Capt,
471d5d6c0a,24/05/2006,19:07,KH,Rattlesnake,Capt,Sound,No,Central High desert,3D diff,25,3.8,342,321800,5435342,3075240506,"Shrub-steppe, Antelope brush","Overcast, Cool, Thundering",100,19.8,19.1,Found in same bush as Ventura.,White w blue flowers,,3.1,210,94,116,Female,Sub Adult,No,"Citrus green, Royal blue, Deep aqua",Yes,,26/05/2006,17:23,"KH, LG",2,At capture location,"Coiled, Under antelope brush",2006-61,Capt,
4725621753,27/05/2006,16:21,KH,Rattlesnake,Capt,Sound,No,Boundary Ravine,3D diff,75,4.7,305,321271,5435806,Co02270506,"Shrub-steppe, Sagebrush","Warm, Sunny",50,31.5,31.1,,White w purple spots,,4.5,297,113,184,Male,Adult,NA,"Citrus green, Royal blue, Fiesta yellow",Yes,Has a meal,28/05/2006,16:55,"KH, LG",1,At capture location,On the move,2006-65,Capt,
452e52580a,24/05/2006,18:29,KH,Rattlesnake,Capt,Sound,No,"High desert, NE of boat rental",3D diff,25,2.6,318,321596,5435052,Co01240506,"Shrub-steppe, Sagebrush","Warm, Sunny",50,23.6,22.1,,Yellow A,,5.3,411,128,283,Male,Adult,NA,"Citrus green, Royal blue, Fuchsia",Yes,Blood taken,26/05/2006,17:32,"KH, LG",2,At capture location,"Coiled, Under sage brush",2006-60,Capt,
471e532547,28/05/2006,15:43,"KH, LG",Rattlesnake,Capt,Sound,No,E of boat rental,3D diff,155,4.5,301,321620,5434818,Co01280506,"Shrub-steppe, Antelope brush","Warm, Sunny, Cloudy",75,25.4,24.3,,Troll,,3.4,276,89,187,Female,Adult,No,"Citrus green, Royal blue, Lt blue",Yes,Recent meal,29/05/2006,20:18,"KH, LG",1,At capture location,On the move,2006-66,Capt,
471d52253e,29/05/2006,19:39,"KH, LG",Rattlesnake,Capt,Sound,No,south High desert,3D diff,125,5,332,321607,5435417,Co02290506,"Shrub-steppe, Antelope brush","Overcast, Dusk",50,23,21.8,,Pink and green patterns,,3.9,269,105,164,Female,Adult,No,"Citrus green, Royal blue, Pt purple",Yes,Blood taken.,30/05/2006,16:16,"KH, LG",1,At capture location,On the move,2006-69,Capt,
47240d31f2c,27/05/2006,15:43,KH,Rattlesnake,Capt,Sound,No,"N desert, SW end",3D diff,75,3.4,322,321208,5435827,Co01270506,"Shrub-steppe, Rabbit brush","Warm, Cloudy",50,28.7,29.8,,"Green w red, purple, blue",,5.3,358,109,249,Male,Adult,NA,"Citrus green, Royal blue, Red",Yes,Blood taken,28/05/2006,16:49,"KH, LG",1,At capture location,On the move,2006-64,Capt,
457c364040,23/05/2006,17:30,"KH, LG",Rattlesnake,Capt,Sight,No,"N desert, SW end",3D diff,86,4.6,285,321023,5435699,Co03230506,"Shrub-steppe, in open","Warm, Sunny, Cloudy",50,24.7,25.2,Wound on neck.,White w pink flowers,,6,414,111,303,Male,Adult,NA,"Citrus green, Royal blue, Tango blue",Yes,"Blood attempted. Large wound on neck, appears to be healing",,,,,,On the move,2006-58,Capt,
457c364040,12/6/2006,15:49,"KH, LG",Rattlesnake,06recap,Sight,Yes,East of White Sands Beach,3D diff,50,2.6,282,320613,5436051,Co01120606,"Shrub-steppe, in open","Warm, Overcast",75,33.4,33.7,,,,,,,,Male,Adult,NA,"Citrus green, Royal blue, Tango blue",,,,,,,Sighting only,On the move,2006-88,06recap,
47263f1536,11/5/2006,11:42,"KH, LG",Rattlesnake,Capt,Sound,No,North desert north ravine,3D diff,25,2.7,355,320763,5436862,.co01110506,"Shrub-steppe, under log","Cool, Overcast",100,20.5,21.2,,Green,60.2,3.9,324,80,244,Female,Adult,Yes,"Citrus green, Tango blue",Yes,3 young detected by palpation. Rattle has only 2 segments for paint,12/5/2006,17:03,"KH, LG",1,At capture location,"Coiled, under log",2006-35,Capt,
456c1c095d,21/05/2006,11:07,KH,Rattlesnake,Capt,Sound,No,E of White Sands Beach,3D diff,25,3.7,298,320469,5436180,Co02210506,Shrub-steppe,"Warm, Sunny",25,27,26.4,,"Pink, blue, green, purple",,3.5,218,75,143,Female,Adult,No,"Citrus green, Tango blue, , Lt blue",Yes,,22/05/2006,20:11,"KH, LG",1,At capture location,"Stretched out, Under antelope brush",2006-52,Capt,
4579166555,28/07/2006,9:59,"KH, LG",Rattlesnake,06recap,Sound,Yes,SW High desert,3D diff,125,4.3,317,321901,5434946,Co02280706,"Shrub-steppe, Antelope brush","Warm, Sunny, Smokey",25,26.7,,,,,,,,,Male,,NA,"Citrus green, Tango blue, Blue bell",,,,,,,Sighting only,On the move,2006-164,06recap,
4579166555,22/05/2006,17:20,"KH, LG",Rattlesnake,Capt,Sound,Yes,"High desert, S central end",3D diff,227,3.8,331,321830,5435118,Co01220506,"Shrub-steppe, Antelope brush","Overcast, Cool",100,23.1,24,,White w blue & orange stripes,,5.1,374,121,253,Male,Adult,NA,"Citrus green, Tango blue, Blue bell",Yes,"Was yellow only, number 23. Blood taken.",23/05/2006,16:36,"KH, LG",1,At capture location,"Coiled, Under antelope brush",2006-53,Capt,
546d3e2a5d,21/05/2006,10:38,KH,Rattlesnake,Capt,Sound,No,On lake @ fence in water,3D diff,50,2.3,279,320693,5435872,Co01210506,Shrub-steppe,"Sunny, Cool",25,26.3,24,,White w blue & pink,,3.5,233,66,167,Female,Adult,No,"Citrus green, Tango blue, Car pink",Yes,Blood taken - DNA only,22/05/2006,19:51,"KH, LG",1,At capture location,"Coiled, Under rabbit brush",2006-51,Capt,
546d3e2a5d,24/06/2006,19:32,KH,Rattlesnake,06recap,Sound,Yes,S of White Sands Beach,3D diff,50,4.6,287,320650,5435981,Co02240606,"Shrub-steppe, in open","Warm, Sunny",0,35.7,35.5,,,,,,,,,,,"Citrus green, Tango blue, Car pink",,,,,,,Sighting only,On the move,2006-103,06recap,
457a1e1b7d,16/05/2006,18:59,"KH, LG",Rattlesnake,Capt,Sight,No,East of hole 2,3D diff,50,4.8,348,322336,5434990,Co03160506,"Shrub-steppe, Sagebrush","Hot, Sunny",25,36.3,32,,Brown blue green stripe,48,3.3,180,97,83,Female,Juvenile,NA,"Citrus green, Tango blue, Deep aqua",Yes,,18/05/2006,16:19,"KH, LG",2,At capture location,On the move,2006-44,Capt,
4552603b21,17/05/2006,8:40,CG staff,Rattlesnake,Capt,,Yes,Campground north end.,3D diff,50,4.7,289,321264,5435403,Co03170506,CG,,,,,,White w yellow flowers.,,4.4,265,108,157,Male,Sub Adult,NA,"Citrus green, Tango blue, Fiesta yellow",Yes,"Was Co01180604, fuschia only. Translocate 699m",19/05/2006,11:15,KH,2,E - 321641. N - 5435952. Acc - 3.8.,,2006-48,Capt,
471047687e,16/05/2006,18:37,"KH, LG",Rattlesnake,Capt,Sound,No,south east of Golf Course by pond ,3D diff,25,3.6,364,322623,5434695,Co01160506,"Shrub-steppe, Antelope brush","Warm, Sunny",25,37,35.2,,White w pink flowers.,51.5,3.9,230,109,121,Female,Sub Adult,NA,"Citrus green, Tango blue, Fuchsia",Yes,,18/05/2006,16:27,"KH, LG",2,At capture location,On the move,2006-43,Capt,
456c1c095d,27/06/2006,17:21,"KH, LG",Rattlesnake,06recap,Sight,Yes,West of White Sands Beach,3D diff,170,4.7,283,320266,5436109,3637270606,"Shrub-steppe, Antelope brush","Hot, Sunny",25,33,34,"With ned, fiesta Y, Deep A, Tango B, and unmarked",,,,,,,,,,"Citrus green, Tango blue, Lt blue",,,,,,,,"Coiled, Under antelope brush",2006-109,06recap,
456c1c095d,24/08/2006,10:07,"KH, LG, AN, JJ",Rattlesnake,,Sound,Yes,East of Rattlesnake Point,3D diff,27,3.7,278,320252,5436312,CO01240806,"Shrub-steppe, Rabbit brush","Cool, Cloudy, Windy",,23,,,,,,,,,,,,"Citrus green, Tango blue, Lt blue",,,,,,,Sighting only,"Coiled, Under rabbit brush",2006-206,06recap,
456b7a7f25,22/05/2006,20:00,"KH, LG",Rattlesnake,Capt,Sight,No,E of White Sands Beach,3D diff,114,5,286,320475,5436111,Co03220506,"Shrub-steppe, in open","Overcast, Cool",100,,,,Blue flowers,,5.8,379,122,257,Male,Adult,NA,"Citrus green, Tango blue, Pt purple",Yes,Blood taken.,23/05/2006,18:37,"KH, LG",1,At capture location,On the move,2006-55,Capt,
46070f2464,17/05/2006,16:47,"KH, LG",Rattlesnake,Capt,Sound,No,20m south of shed log,3D diff,25,3.8,281,319817,5436433,Co04170506,"Shrub-steppe, Rabbit brush","Hot, Sunny",,38,37.8,,"Purple,blue, green pattern",,3.4,278,102,176,Female,Adult,Yes,"Citrus green, Tango blue, Red",Yes,3 young detected by palpation.,18/05/2006,20:57,"KH, LG",1,,"Coiled, Under rabbit brush",2006-49,Capt,
472b151139,13/05/2006,13:24,"KH, LG",Rattlesnake,Capt,Sight,No,"Rattlesnake Point, shed log",3D diff,50,4.6,276,319797,5436456,Co02130506,"Grassland, log","Warm, Sunny",0,29.9,25.3,,White with yellow and pink flowers,77.2,5.6,427,106,321,Male,Adult,NA,"Citrus green, Tango blue, Royal blue",Yes,,14/05/2006,18:51,KH,1,At capture location,"Coiled, under log",2006-39,Capt,
456c170d63,7/6/2006,18:53,KH,Rattlesnake,Sight,Sight,Yes,N of White Sands Beach,3D diff,25,3.1,283,320256,5436117,Co01070606,"Shrub-steppe, Antelope brush","Warm, Sunny",25,34.5,34.6,Under huge antelope brush with 2 other marked snakes (could not capture).,,,,,,,Male,Adult,NA,"Fiesta yellow, , Royal blue, Tango blue",,,,,,,Sighting only,"Coiled, Under antelope brush",2006-82,Sight,
456f451a69,13/05/2006,12:58,"KH, LG",Rattlesnake,Capt,Sight,Yes,Rattlesnake Point,3D diff,25,2.4,278,319878,5436594,3660130506,"Shrub-steppe, Antelope brush",,,,,,White with stars,,3.9,347,89,258,Female,Adult,No,"Fiesta yellow, Blue bell, Pt purple",Yes,May be gravid. Uncertain on palpation.,14/05/2006,18:51,KH,1,At capture location,"Stretched out, Under antelope brush",2006-38,Capt,
456a701d3f,23/05/2006,16:07,"KH, LG",Rattlesnake,Capt,Sound,Yes,N of Lone Pine Bridge,3D diff,83,4.3,331,322126,5435077,Co01230506,"Shrub-steppe, Sagebrush","Cool, Cloudy",75,,,,White w yellow leaves,,5.5,344,97,247,Male,Adult,NA,"Fiesta yellow, Blue bell, Red",Yes,Blood taken.,25/05/2006,16:25,"KH, LG",2,At capture location,Unknown pre-disturbance,2006-56,Capt,
4551486333,23/07/2006,9:05,"KH, LG",Rattlesnake,Capt,Sound,Yes,"E of Lenny's estates, @ fence",3D diff,25,3.8,299,321434,5435227,Co02230706,"Shrub-steppe, in open","Hot, Sunny",0,33.1,,,Pink A ,,5.2,308,131,177,Male,Adult,NA,"Fiesta yellow, Car pink, Citrus green",Yes,Regurgitated mouse in bag.,25/07/2006,8:53,"KH, LG",2,At capture location,On the move,2006-151,Capt,
45663c3516,20/07/2006,17:14,"KH, LG, AG",Rattlesnake,Capt,Sound,Yes,Mid S High desert,3D diff,100,4.2,342,321866,5435313,Co03200706,"Shrub-steppe, Antelope brush","Hot, Sunny",0,,,,White w yellow leaves.,,5.3,304,96,208,Male,Adult,NA,"Fiesta yellow, Car pink, Fuchsia",Yes,,23/07/2006,8:21,"KH, LG",3,At capture location,"Coiled, Under antelope brush",2006-145,Capt,
45663c3516,25/07/2006,8:01,"KH, LG, AG",Rattlesnake,06recap,Sight,Yes,Small bridge to village,3D diff,55,2.5,328,321996,5435336,Co01250706,"Riparian, stream bed","Warm, Cloudy",75,23.7,,,,,,,,,,,,"Fiesta yellow, Car pink, Fuchsia",,,,,,,Sighting only,On the move,2006-156,06recap,
45592c202d,11/7/2006,7:21,Victor,Rattlesnake,Capt,Sight,Yes,Road by Greyback office,3D diff,25,2.5,332,322147,5434705,Co04100706,Road,,,,,Received at 7am July 11.,,,,,,,Female,,,"Fiesta yellow, Citrus green, Car pink",,,,,,,,Dead on road,2006-130,Capt,
4556232e28,26/07/2006,7:59,Victor,Rattlesnake,Capt,Sound,Yes,"Cart path, 6th green",3D diff,130,5,359,322356,5434925,Co01260706,"GC, Sagebrush","Warm, Sunny",0,,,,Blue & orange stripe.,,5,344,123,221,Male,Adult,NA,"Fiesta yellow, Citrus green, Red",Yes,Trans 607m.,27/07/2006,9:41,"KH, LG",1,E322179. N5435495. A3.9,"Stretched out, In sage brush",2006-157,Capt,
4566372b24,9/5/2006,13:23,"JRB, KH",Rattlesnake,Capt,Sight,Yes,NW ofWh. Sands,3D diff,50,2.5,279,320274,5436055,Co03090506,"Grassland, brush pile","Warm, Sunny",25,24.6,22.1,,Whlte w blue & orange stripes,72.7,6.3,433,122,311,Male,Adult,NA,"Fiesta yellow, Citrus green, Royal blue",Yes,Blood sample,10/5/2006,16:08,"KH, LG",1,At capture location,"Coiled, Under log",2006-34,Capt,
4566372b24,7/6/2006,18:53,KH,Rattlesnake,06recap,Sound,Yes,N of White Sands Beach,3D diff,25,3.1,283,320256,5436117,Co01070606,"Shrub-steppe, Antelope brush","Warm, Sunny",25,34.5,34.6,Under huge antelope brush with 2 other marked snakes (could not capture).,,,,,,,Male,Adult,NA,"Fiesta yellow, Citrus green, Royal blue",,,,,,,Sighting only,"Coiled, Under antelope brush",2006-81,06recap,
4566372b24,17/08/2006,8:47,KH,Rattlesnake,,Sound,Yes,N of White Sands Beach,3D diff,50,2.6,279,320254,5436300,Co01170806,"Shrub-steppe, Rabbit brush","Warm, Sunny",0,21.9,,,,,,,,,,,,"Fiesta yellow, Citrus green, Royal blue",,,19/08/2006,18:34,"KH, LG",2,At capture location,"Stretched out, Under rabbit brush",2006-198,06recap,
45787d117d,19/05/2006,9:27,"KH, LG",Rattlesnake,Capt,Sound,Yes,Above F sites,3D diff,60,3.2,3195,321574,5434980,Co01180506,"Shrub-steppe, Antelope brush","Hot, Sunny",25,,,,Off white plaid.,,3.3,200,81,119,Female,Adult,,"Fiesta yellow, Daisy cream, Lt blue",,,20/05/2006,17:49,KH,1,At capture location,"Stretched out, in open",2006-50,Capt,
4531781366,25/06/2006,20:52,"KH, LG",Rattlesnake,Capt,Sound,Yes,E of boat rental,3D diff,50,4.9,311,321571,5435145,Co03250606,"Shrub-steppe, Antelope brush","Warm, Dusk",0,26.1,25.9,,Green,,5.5,316,80,236,Male,Adult,NA,"Fiesta yellow, Deep aqua, Fuchsia",Yes,Blood taken.,27/06/2006,19:24,"KH, LG",2,At capture location,On the move,2006-106,Capt,
4575086553,27/06/2006,17:22,"KH, LG",Rattlesnake,06recap,Sight,Yes,west ofWhite Sands Beach,,170,4.7,283,322,543,3637270606,"Shrub-steppe, Antelope brush","Hot, Sunny",25,33,34,"Found with ned, citris, tango, lt. blue",,,,,,,,,,"Fiesta yellow, Deep aqua, Tango blue",,,,,,,,"Coiled, Under antelope brush",2006-110,06recap,
4575086553,7/5/2006,14:21,"JRB, KH",Rattlesnake,Capt,Sound,Yes,N of Wh. Sands,3D diff,50,4.3,277,320264,5436091,Co01070506,"Shrub-steppe, Antelope brush","Cool, Cloudy, Windy",50,,,,White w Yellow flowers A,75,5.3,437,125,312,Male,Adult,NA,"Fiesta yellow, Deep aqua, Tango blue",Yes,Blood taken,8/5/2006,17:02,"KH, LG",1,At capture location,On the move,2006-29,Capt,
454a726a22,9/7/2006,8:48,"KH, LG",Rattlesnake,Capt,Sound,Yes,W central N desert,3D diff,25,3.8,313,320829,5435939,Co01090706,"Shrub-steppe, Rabbit brush","Warm, Sunny",25,27.8,,,Retro stripe,,3.6,229,98,131,Female,Sub Adult,No,"Fiesta yellow, Fuchsia, Citrus green",Yes,,11/7/2006,9:19,"KH, LG",2,At capture location,On the move,2006-126,Capt,
454a726a22,20/08/2006,8:13,"KH, LG",Rattlesnake,,Sight,Yes,SW N desert,3D diff,125,4.5,319,321052,5435907,Co01200806,"Shrub-steppe, in open","Warm, Sunny, Smokey",0,21,,,,,,,,,,,,"Fiesta yellow, Fuchsia, Citrus green",,,,,,,,On the move,2006-201,06recap,
45547f313c,25/05/2006,18:51,KH,Rattlesnake,Capt,Sight,Yes,"N desert, SW end",3D diff,25,2.8,292,321051,5435685,Co02250506,"Shrub-steppe, in open","Overcast, Cool",100,19.4,19,,Green pattern,,5.7,387,94,293,Male,Adult,NA,"Fiesta yellow, Fuchsia, Deep aqua",Yes,Blood taken,27/05/2006,15:11,KH,2,At capture location,On the move,2006-63,Capt,
4576655e55,1/8/2006,14:39,GC staff,Rattlesnake,Capt,,Yes,B/W holes 8 & 4,3D diff,135,2.7,354,322519,5434648,Co02010806,GC,"Warm, Smokey",50,,,,Pink w flowers,,5.2,339,126,213,Male,Adult,NA,"Fiesta yellow, Fuchsia, Red",Yes,Blood taken. Trans 824m.,2/8/2006,9:22,"KH, LG",1,A. .2.7 E.322162  N.5435390,,2006-173,Capt,
4546521d6a,29/07/2006,15:00,Bob,Rattlesnake,Capt,Sight,,Sweat lodge,3D diff,175,2.7,336,321963,5435359,Co02290706,Village sweat lodge,"Warm, Sunny, Smokey",,,,,white with blue flowers,,5.2,330,113,217,Male,Adult,NA,"Fiesta yellow, Fuchsia, Royal blue",Yes,,31/07/2006,8:30,"KH, LG",2,At capture location,"Coiled, in rocks",2006-168,Capt,
457732644c,9/7/2006,10:39,"KH, LG",Rattlesnake,Capt,Sound,No,Rattlesnake Point,3D diff,25,2.6,280,319857,5436571,Co01070706,"Shrub-steppe, Antelope brush","Warm, Sunny",0,,,,,,,,,,Male,Adult,NA,"Fiesta yellow, Fuchsia, Tango blue",Yes,,,0:00,,,Sighting only,"Coiled, Under antelope brush",2006-127,Capt,
457732644c,9/5/2006,12:50,"JRB, KH",Rattlesnake,Capt,Sight,Yes,Rattlesnake Pt shed log,3D diff,50,4.4,277,319798,5436457,Co02090506,"Grassland, log","Warm, Sunny",25,22,21.4,,White w pink& blue,76.2,5.1,412,67,345,Male,Adult,NA,"Fiesta yellow, Fuschia, Tango Blue",Yes,,10/5/2006,16:20,"KH, LG",1,At capture location,"Looped, under log",2006-33,Capt,
4603275371,20/07/2006,9:06,"KH, LG",Rattlesnake,Capt,Sound,Yes,SE of White Sands Beach,3D diff,125,3.5,285,320665,5435987,Co02200706,"Shrub-steppe, Rabbit brush","Warm, Sunny",0,21.5,,,White w yellow flowers,,5.7,388,108,280,Male,Adult,NA,"Fiesta yellow, Lt blue, Blue bell",Yes,Blood taken.,21/07/2006,10:44,"KH, LG",1,At capture location,"Coiled, Under rabbit brush",2006-144,Capt,
4551582508,27/06/2006,20:26,"KH, LG",Rattlesnake,Capt,Sound,Yes,East of boat rental,3D diff,90,3.1,299,321563,5434863,Co06270606,"Shrub-steppe, by fence","Warm, Dusk",0,32.8,31.5,On human side,"Green, pink, blue patterns",,3.5,245,100,145,Female,Adult,No,"Fiesta yellow, Lt blue, Daisy cream",Yes,,30/06/2006,17:35,"KH, LG, JB",3,Trans. 50m. E321607. N5434890. A2.5.,Working the fence,2006-114,Capt,
46050b5d7e,6/7/2006,14:53,"KH, LG",Rattlesnake,06recap,Sight,Yes,S of washroom 4,3D diff,31,4.1,299,321399,5435291,Co01060706,"Shrub-steppe, Grass bush","Warm, Sunny",25,,,,,,,,,,,,,"Fiesta yellow, Lt blue, Royal blue",,,,,,,Sighting only,"Coiled, Under grass bush",2006-123,06recap,
46050b5d7e,17/05/2006,8:38,CG staff,Rattlesnake,Capt,,Yes,Campground # 3 bathroom,3D diff,150,5.3,284,321437,5434860,Co01170506,CG,,,,,,Pink w flowers,,5.2,378,127,251,Male,Adult,NA,"Fiesta yellow, Lt blue, Royal blue",Yes,Blood taken. Translocate 871m.,19/05/2006,10:53,KH,2,E - 321888. N - 5435579. Acc - 4.2.,,2006-46,Capt,
46050b5d7e,7/8/2006,8:52,KH,Rattlesnake,,Sound,Yes,E of Lenny's,,,6,308,321465,5435230,035 (Etrex),"Shrub-steppe, in open","Warm, Sunny",0,24,28,,,,,,,,,,,"Fiesta yellow, Lt blue, Royal blue",,,,,,,Sighting only,On the move,2006-178,06recap,
45555e6c23,9/6/2006,16:05,"KH, LG",Rattlesnake,Capt,Sight,Yes,East ofnorth end ofCampground,,130,4.4,301,321339,5435405,Co02090606,"Shrub-steppe, Sagebrush","Raining, Cloudy",75,21.3,21.4,,Blue green,,5.3,356,109,247,Male,Adult,NA,"Fiesta yellow, Pt purple, Deep aqua",Yes,Blood taken.,11/6/2006,16:12,"KH, LG",2,At capture location,"Coiled, Under sage brush",2006-86,Capt,
4570773a15,3/8/2006,9:35,"KH, LG",Rattlesnake,Sight,Sound,,Central N desert up,3D diff,125,3.1,311,320882,5435923,3056030806,"Shrub-steppe, Antelope brush","Warm, Sunny",0,24.4,,,,,,,,,,,,"Fiesta yellow, Pt purple, Royal blue",,Zaphod attempting to mate.,,,,,,Mating,2006-175,Sight,
4570773a15,11/8/2006,9:21,"KH, LG",Rattlesnake,,Sight,No,SW N desert,3D diff,110,4.5,313,320883,5435945,3056110806,"Shrub-steppe, in open","Warm, Sunny",50,29,,,,,,,,,,,,"Fiesta yellow, Pt purple, Royal blue",,,,,,,Sighting only,Courting,2006-189,Sight,
45662e3333,16/05/2006,18:37,"KH, LG",Rattlesnake,Capt,Sight,Yes,south east of Golf Course by pond ,3D diff,25,3.6,364,322623,5434695,Co01160506,"Shrub-steppe, Antelope brush","Warm, Sunny",25,37,35.2,,Green patterns,63.8,5.3,290,93,197,Male,Adult,NA,"Fiesta yellow, Pt purple, Tango blue",Yes,,18/05/2006,16:27,"KH, LG",2,At capture location,On the move,2006-42,Capt,
4603764235,23/05/2006,16:17,"KH, LG",Rattlesnake,Capt,Sound,Yes,Village trail E of shelter,3D diff,69,3.7,327,322107,5435122,Co02230506,"Shrub-steppe, Sagebrush","Overcast, Cool",75,,,,Lt. Blue,,5.8,299,111,188,Male,Adult,NA,"Fiesta yellow, Red, Deep aqua",Yes,Blood taken.,25/05/2006,16:27,"KH, LG",2,At capture location,"Coiled, Under sage brush",2006-57,Capt,
